logFC,logCPM,F,PValue,FDR,Gene,rank
-0.125521623661615,6.86076351205174,1.4749022048088,0.23147989891076,0.340883340632539,POGZ,-0.635486715968543
-0.103182983260373,6.34546357881718,1.47510105860178,0.231449819309614,0.340883340632539,PLEKHA6,-0.635543153930072
-0.0774564181614634,6.89225221153705,1.48275549605895,0.230263077753648,0.339396027648388,RTCB,-0.63777569474694
-0.175639368574459,2.87078792273602,1.48547069226538,0.230031615068296,0.33908532387392,GIPC3,-0.63821247134704
-0.0701361958864174,4.86955731018334,1.48481659760158,0.229956741585064,0.339027991386161,CHIC2,-0.63835385379912
-0.134860588504287,3.04561489470801,1.48824191794196,0.22963302127473,0.338771678931466,LRP2BP,-0.638965660149348
-0.205253349216089,3.12992191967148,1.49135858897688,0.229147017662865,0.338176314608049,EFCAB13,-0.639885790703679
-0.113333756935308,6.78002697132831,1.49049538324461,0.229071674793656,0.338095532968814,N4BP2L2,-0.640028608939521
-0.144235133451997,4.90880366171052,1.49252230569848,0.228771898330213,0.337744224203899,ENTR1,-0.640597324064618
-0.154054658685636,6.01232619087993,1.49532260718911,0.228333971280416,0.337249419458913,PDPR,-0.641429469841059
-0.350166610655607,1.53677992064454,1.46888525475106,0.22828490808464,0.337207307512853,ADARB2,-0.641522798769122
-0.0708194126560587,5.19047920965198,1.4963397448856,0.228183864334923,0.337088398848242,SAMD8,-0.641715069287066
-0.0775180087784185,6.54812046752396,1.49656940950098,0.228142339388661,0.337057401826864,ASH1L,-0.641794109477727
-0.0888894136040481,7.07160028516948,1.49739004393672,0.228016444348358,0.336901739654918,PITPNA,-0.642033830928414
-0.187995490704298,1.65047129207522,1.47375542879103,0.227915845442078,0.336818045913608,NTF3,-0.64222548022183
-0.108322734930579,5.71853010190055,1.49975455596356,0.227659053930324,0.336555523640757,MAU2,-0.642715073254805
-0.107337084177027,5.91443163670611,1.50290469950515,0.227179118749522,0.335995796322492,KMT2B,-0.643631589460215
-0.108799126074562,5.31873685820393,1.50449968951042,0.226940707793973,0.335705295121124,FAN1,-0.644087594971893
-0.0726227428586441,5.930298923825,1.50680111026009,0.226588225201503,0.33527456029455,ATXN7,-0.644762662269971
-0.140141378083003,3.95108816250419,1.50891810383742,0.226328394422219,0.334951586393153,FAM221A,-0.645260957457924
-0.171925567577591,4.09804039141651,1.51189941962592,0.225863370453188,0.334382945267158,OBSL1,-0.646154195374155
-0.197751467805217,1.65910857662618,1.48788973910425,0.225758897010235,0.334267934766598,RXFP4,-0.646355125416175
-0.0577801750532757,6.82296734410828,1.51253341925076,0.225720634390914,0.334267934766598,SNX5,-0.646428737809731
-0.0972698806282572,5.19394971600747,1.51332540105846,0.225608197260897,0.334155921705795,IKZF5,-0.646645124721947
-0.145911662905395,2.39253776977837,1.51168496492234,0.225426364477838,0.333946893134016,LINC03009,-0.646995292914316
-0.0866083414583665,5.10007429766462,1.51576154673342,0.225242882070608,0.333735344863152,PEX5,-0.647348924328037
-0.118506698708279,4.49543278661555,1.51707913364824,0.225059368415592,0.333553799743748,ZNF605,-0.647702904225112
-0.11875905519627,3.59865097680056,1.51853077760981,0.22493750692624,0.333433427919934,LRRC37B,-0.647938122630286
-0.0696755810197034,7.15256685051461,1.52066400054355,0.224499320797406,0.332904189393931,SCAMP2,-0.648784968577739
-0.172339684664059,2.42474813620034,1.51971255129209,0.224292204629773,0.332687262119446,ZNF850,-0.649185820242737
-0.204529005530112,4.58246848126528,1.52440834307855,0.223959789746522,0.332314620232583,SCUBE1,-0.649829948892574
-0.128548169572653,2.57077583986005,1.52830221004602,0.223297861398285,0.331510091810429,EHBP1-AS1,-0.651115436298789
-0.117450187928739,3.23597795418019,1.53414757052026,0.222688984104822,0.330757748817952,SNTA1,-0.652301265951221
-0.0470317060337918,5.36692716235159,1.53318815165144,0.222639920268288,0.330714811856063,LRRC57,-0.652396962203337
-0.0887875173233076,7.14551073609463,1.53354113180024,0.222582176007594,0.330658971836361,TRANK1,-0.652509616153495
-0.230018364747733,3.61096447445537,1.53547155349876,0.222414633323029,0.330439994889919,ZNF718,-0.652836642618865
-0.163223196244286,7.40555307778294,1.53903377665766,0.221770363166163,0.329632042651545,C15orf48,-0.654096492331988
-0.316449792419156,1.4477621562803,1.51112208557528,0.221723915456214,0.329620663825448,ADAM20P1,-0.654187460739808
-0.0594613225120658,5.69765022990116,1.53957710202482,0.221693694605386,0.329607660482527,ABCB10,-0.654246658879329
-0.229425281712658,2.39829277622319,1.53674885828011,0.221677341183696,0.329607660482527,SYT9-AS1,-0.654278696158404
-0.122663268503376,3.59994826457319,1.54217139607478,0.221427674493201,0.329301666190922,MYPOP,-0.654768101033705
-0.139659220810384,3.13373481124758,1.54358205392337,0.221313474016911,0.329191504094777,TIGD7,-0.654992144531582
-0.190734902989215,1.98033907984524,1.528511066632,0.221289888033753,0.329191504094777,ST18,-0.655038430950639
-0.132317711585003,6.38825196606261,1.54314023998437,0.221167208189446,0.329063434165073,TNFRSF11A,-0.655279264157942
-0.12758140150341,9.4513946031594,1.54486913888565,0.220911585030999,0.328712912595323,DDX17,-0.655781508288333
-0.0621484819858263,6.50602703921417,1.54538011214429,0.220838125520227,0.328633408628322,MKLN1,-0.655925947819153
-0.0821305442638959,7.58018218628178,1.54693731828777,0.220608872108829,0.328351811825259,SDHD,-0.656377025756087
-0.148559687646676,2.73866410669133,1.54820035470991,0.220546415350797,0.328288631323222,CNN3-DT,-0.656499996629714
-0.130937317452782,7.94122351707667,1.54895327259338,0.220313729732969,0.328031549678635,SRSF6,-0.656958437204809
-0.166611840905526,7.12898696656536,1.54976951246052,0.220194737423298,0.327913891054772,STX16,-0.657193064725454
-0.0627255505450632,5.27635759295795,1.55112937431621,0.220002433848483,0.32771674394788,CDKN2AIP,-0.657572514627253
-0.115477305101251,7.46208310356638,1.55893437540522,0.21886012417056,0.326281747900286,CAT,-0.659833358716346
-0.0957159684297956,5.39456031718565,1.56082629268021,0.218591399531365,0.32594035655313,TMUB2,-0.660366929346738
-0.0873072194603652,4.54960677657131,1.56560471307683,0.217916161154763,0.325110781253623,TAB1,-0.661710560299559
-0.100379092421503,6.01722147072509,1.5654994790402,0.217912462527258,0.325110781253623,ARAP2,-0.661717931515807
-0.176191643591501,2.42448164306964,1.56465782287554,0.21767764480596,0.324873094049135,BRICD5,-0.6621861701134
-0.0900826666454104,5.3892118165795,1.56729720309525,0.217656732658798,0.324873094049135,ACSBG1,-0.662227894500879
-0.103986718773174,6.69053204173215,1.56751720141217,0.217620180384974,0.324873094049135,MPC2,-0.662300834049862
-0.0893172024285646,4.34746783052417,1.56805983210944,0.217571385686825,0.324832693025425,PDP2,-0.66239822228021
-0.279013095716202,5.75154526810169,1.56955497164152,0.217329506942043,0.324530628859214,CIDEC,-0.662881305284913
-0.0633163841201597,6.43478293503185,1.57293982039423,0.216841292770917,0.323860543581396,DGCR2,-0.663858012193868
-0.0753750821110252,6.41346076049021,1.57375179099957,0.216724898316168,0.323716170375211,VPS39,-0.664091192140438
-0.191401150470124,6.15631008975119,1.57499245587222,0.216547720694419,0.323480972428444,MAPK8IP3,-0.664446383141924
-0.153078036786089,5.33676382870056,1.57565554706361,0.216457119281468,0.323375071762754,ZNF587,-0.664628125656737
-0.366155688739458,2.14457992270121,1.56787581630785,0.216213929623407,0.323158877505999,LINC00954,-0.665116329977045
-0.216760002897494,6.06239057753158,1.58026327003932,0.215794957734819,0.32273846199188,EGLN3,-0.665958707259818
-0.223232741840568,1.68881625774396,1.55674267972697,0.215550343995516,0.322460799077173,DYNLT5,-0.666451279721551
-0.0875726868792951,4.54003075085929,1.58256298116011,0.215486805313475,0.322424539630084,ECSIT,-0.666579317405736
-0.0850784053476503,5.04495136198283,1.5830911848869,0.215399657695838,0.322323537024469,POLR3E,-0.666754991200186
-0.0799952672980803,4.88283681603853,1.58321095759238,0.215385383069201,0.322323537024469,VPS16,-0.66678377303333
-0.261305475633303,7.36899375291848,1.58354894820511,0.215325188050659,0.322270882562731,GOLGA8A,-0.666905164827791
